,DefectId,Severity,Project,rootCauseCategoryNG,Phase,Component,openDate,closedDate,plannedDurationInWeeks,developmentTeamSizeForRelease,testingTeamSizeForRelease,numberOfTestCaseExecuted,applicationCategory,Complexity,projectCMMILevel,applicationVersion
130,199,D-Low,A,Not Available,System Test (ST),NGBA Phase 1 Drop A,9/8/2015,9/14/2015,100,200,100,1000,Existing,4,Level4,1
131,200,C-Medium,A,Detailed Design,Design Verification (DV),NGBA Phase 1 Drop A,9/8/2015,9/29/2015,100,200,100,1000,Existing,4,Level4,1
132,201,C-Medium,A,Not Available,System Test (ST),NGBA Phase 1 Drop A,9/8/2015,9/11/2015,100,200,100,1000,Existing,4,Level4,1
133,202,D-Low,A,Detailed Design,Design Verification (DV),NGBA Phase 1,9/9/2015,9/14/2015,100,200,100,1000,Existing,4,Level4,1
134,203,D-Low,A,Not Available,System Test (ST),NGBA Phase 1 Drop A,9/9/2015,10/28/2015,100,200,100,1000,Existing,4,Level4,1
135,204,D-Low,A,Component Code,System Test (ST),NGBA Phase 1 Drop A,9/9/2015,3/16/2016,100,200,100,1000,Existing,4,Level4,1
136,205,C-Medium,A,Component Code,Design Verification (DV),NGBA Phase 1,9/9/2015,9/15/2015,100,200,100,1000,Existing,4,Level4,1
137,206,D-Low,A,Detailed Design,Design Verification (DV),NGBA Phase 1 Drop A,9/9/2015,10/6/2015,100,200,100,1000,Existing,4,Level4,1
138,207,D-Low,A,Not Available,Design Verification (DV),NGBA Phase 1 Drop A,9/10/2015,9/21/2015,100,200,100,1000,Existing,4,Level4,1
139,208,C-Medium,A,Not Available,System Test (ST),NGBA Phase 1 Drop A,9/10/2015,9/28/2015,100,200,100,1000,Existing,4,Level4,1
140,209,D-Low,A,Not Available,System Test (ST),NGBA Phase 1 Drop A,9/10/2015,9/29/2015,100,200,100,1000,Existing,4,Level4,1
141,210,D-Low,A,Not Available,System Test (ST),NGBA Phase 1 Drop A,9/11/2015,9/29/2015,100,200,100,1000,Existing,4,Level4,1
142,211,D-Low,A,Not Available,System Test (ST),NGBA Phase 1 Drop A,9/11/2015,9/24/2015,100,200,100,1000,Existing,4,Level4,1
143,212,B-High,A,Component Code,System Test (ST),NGBA Phase 1 Drop A,9/11/2015,9/16/2015,100,200,100,1000,Existing,4,Level4,1
144,213,C-Medium,A,Detailed Design,Design Verification (DV),NGBA Phase 1 Drop A,9/11/2015,1/18/2016,100,200,100,1000,Existing,4,Level4,1
145,214,D-Low,A,Not Available,System Test (ST),NGBA Phase 1 Drop A,9/11/2015,9/24/2015,100,200,100,1000,Existing,4,Level4,1
146,215,C-Medium,A,Not Available,System Test (ST),NGBA Phase 1 Drop A,9/15/2015,9/21/2015,100,200,100,1000,Existing,4,Level4,1
147,216,D-Low,A,Detailed Design,Design Verification (DV),NGBA Phase 1,9/16/2015,1/5/2016,100,200,100,1000,Existing,4,Level4,1
148,217,C-Medium,A,Detailed Design,System Test (ST),NGBA Phase 1 Drop A,9/16/2015,1/5/2016,100,200,100,1000,Existing,4,Level4,1
149,218,D-Low,A,Not Available,System Test (ST),NGBA Phase 1 Drop A,9/16/2015,9/24/2015,100,200,100,1000,Existing,4,Level4,1
150,219,C-Medium,A,Not Available,System Test (ST),NGBA Phase 1 Drop A,9/18/2015,10/7/2015,100,200,100,1000,Existing,4,Level4,1
151,220,C-Medium,A,Detailed Design,Dev Testing (DT),NGBA Phase 1 Drop A,9/16/2015,9/29/2015,100,200,100,1000,Existing,4,Level4,1
152,221,D-Low,A,Component Code,Dev Testing (DT),NGBA Phase 1 Drop A,9/21/2015,10/14/2015,100,200,100,1000,Existing,4,Level4,1
153,222,C-Medium,A,Detailed Design,Dev Testing (DT),NGBA Phase 1,9/21/2015,10/12/2015,100,200,100,1000,Existing,4,Level4,1
154,223,B-High,A,Not Available,System Test (ST),NGBA Phase 1 Drop A,9/22/2015,9/22/2015,100,200,100,1000,Existing,4,Level4,1
155,224,D-Low,A,Component Code,System Test (ST),NGBA Phase 1 Drop A,9/22/2015,10/13/2015,100,200,100,1000,Existing,4,Level4,1
156,225,B-High,A,Detailed Design,Dev Testing (DT),NGBA Phase 1 Drop A,9/22/2015,1/5/2016,100,200,100,1000,Existing,4,Level4,1
157,226,C-Medium,A,Operating System,System Test (ST),NGBA Phase 1 Drop A,9/22/2015,10/7/2015,100,200,100,1000,Existing,4,Level4,1
158,227,B-High,A,Not Available,System Test (ST),NGBA Phase 1 Drop A,9/22/2015,9/25/2015,100,200,100,1000,Existing,4,Level4,1
159,228,C-Medium,A,Operating System,System Test (ST),NGBA Phase 1 Drop A,9/22/2015,10/7/2015,100,200,100,1000,Existing,4,Level4,1
160,229,C-Medium,A,Operating System,System Test (ST),NGBA Phase 1 Drop A,9/22/2015,10/7/2015,100,200,100,1000,Existing,4,Level4,1
161,230,D-Low,A,Not Available,System Test (ST),NGBA Phase 1 Drop A,9/22/2015,9/22/2015,100,200,100,1000,Existing,4,Level4,1
162,231,C-Medium,A,Application Data,System Test (ST),NGBA Phase 1 Drop A,9/22/2015,9/29/2015,100,200,100,1000,Existing,4,Level4,1
163,232,C-Medium,A,Not Available,System Test (ST),NGBA Phase 1 Drop A,9/22/2015,9/29/2015,100,200,100,1000,Existing,4,Level4,1
164,233,C-Medium,A,Not Available,System Test (ST),NGBA Phase 1 Drop A,9/22/2015,9/22/2015,100,200,100,1000,Existing,4,Level4,1
165,234,B-High,A,Not Available,System Test (ST),NGBA Phase 1 Drop A,9/22/2015,10/13/2015,100,200,100,1000,Existing,4,Level4,1
166,235,D-Low,A,Component Code,System Test (ST),NGBA Phase 1 Drop A,9/22/2015,10/13/2015,100,200,100,1000,Existing,4,Level4,1
167,236,C-Medium,A,Detailed Design,System Test (ST),NGBA Phase 1 Drop A,9/22/2015,1/5/2016,100,200,100,1000,Existing,4,Level4,1
168,237,D-Low,A,Not Available,System Test (ST),NGBA Phase 1 Drop A,9/22/2015,9/23/2015,100,200,100,1000,Existing,4,Level4,1
169,238,B-High,A,Middleware,System Test (ST),NGBA Phase 1 Drop A,9/23/2015,9/28/2015,100,200,100,1000,Existing,4,Level4,1
